SERIAL_NUMBER,OH_INV,ORDER_NUMBER,DESCRIPTION,SEGMENT1,NAME,TRANSACTION_ID,SHIPMENT_NUMBER,SCHEDULE_SHIP_DATE,SCHEDULE_SHIP_DATE,SCHEDULE_ARRIVAL_DATE,ADDRESSEE,CONFIRM_DATE,ADDRESS1,CITY,STATE,POSTAL_CODE,COUNTRY,CREATION_DATE,Delivery ID,PRO#/Tracking#,TMS_REG
57-58255871,1/26/2021,6174447,6684 Optimize WU Dip,6684MC6736,Rental Sourcing US,4846496798,97833639,7/21/2021 23:59,7/21/2021 23:59,7/23/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/21/2021 22:26,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/21/2021 22:26,97833639,22869315,TMS
57-58259722,3/21/2021,6138644,SelfServ84 ITM,6684MC6934,Rental Sourcing US,4823707744,97438912,7/9/2021 23:59,7/9/2021 23:59,7/13/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/9/2021 21:33,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/9/2021 21:34,97438912,22863632,TMS
57-58259967,4/1/2021,6094321,SelfServ82 Interactive Teller,6682MC1906,Rental Sourcing US,4634864206,91236864,4/1/2021 23:59,4/1/2021 23:59,4/7/2021 23:59,ATMaaS SECURITY VAULT WORKS,4/1/2021 22:41,122 LAFAYETTE AVE,LAUREL,MD,20707-4512,US,4/1/2021 22:42,91236864,22820015,TMS
57-58260647,4/10/2021,6143579,SelfServ 88 Interactive Teller,6688MC1959,Rental Sourcing US,4658455873,91916464,4/20/2021 23:59,4/20/2021 23:59,4/23/2021 23:59,ATMaaS TNT ERECTORS -  SCOTT CREDIT UNION,4/20/2021 19:51,4192 HIGHWAY 44 E,SHEPHERDSVILLE,KY,40165-6315,US,4/20/2021 19:51,91916464,1689427,TMS
57-58261456,4/11/2021,6137505,6623 DIP,6623MC2340,Rental Sourcing US,4837110357,97513094,7/16/2021 23:59,7/16/2021 23:59,7/20/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/16/2021 22:08,2226 JERNIGAN RD,JACKSONVILLE,FL,32207-6710,US,7/16/2021 22:09,97513094,22867318,TMS
57-58262300,4/28/2021,6138638,6684 Optimize DU Dip,6684MC6741,Rental Sourcing US,4837119090,97513160,7/16/2021 23:59,7/16/2021 23:59,7/20/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/16/2021 22:31,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/16/2021 22:31,97513160,22867321,TMS
57-58264657,5/28/2021,6135293,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4788483184,96280616,6/22/2021 23:59,6/22/2021 23:59,6/25/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,6/24/2021 0:34,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,6/24/2021 0:35,96280616,#N/A,EMAIL
57-58264649,5/28/2021,6135294,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4793922585,96280613,6/22/2021 23:59,6/22/2021 23:59,6/24/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,6/25/2021 19:28,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,6/25/2021 19:29,96280613,PGAA,TMS
57-58264651,5/28/2021,6135192,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4788483169,96240002,6/22/2021 23:59,6/22/2021 23:59,6/24/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,6/24/2021 0:31,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,6/24/2021 0:35,96240002,#N/A,EMAIL
57-58264652,5/28/2021,6135329,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4793931179,96280614,6/22/2021 23:59,6/22/2021 23:59,6/24/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,6/25/2021 19:33,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,6/25/2021 19:34,96280614,PGAA,TMS
57-58264650,5/29/2021,6135296,6688 Optimize Dip,6688MC2117,Rental Sourcing US,4788483170,96280607,6/22/2021 23:59,6/22/2021 23:59,6/24/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,6/24/2021 0:32,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,6/24/2021 0:34,96280607,#N/A,EMAIL
57-58265225,5/31/2021,6138586,SelfServ82 Interactive Teller,6682MC1973,Rental Sourcing US,4802869571,96900018,6/29/2021 23:59,6/29/2021 23:59,7/1/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,6/29/2021 20:40,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,6/29/2021 20:41,96900018,22857245,TMS
57-58265226,5/31/2021,6138584,SelfServ82 Interactive Teller,6682MC1973,Rental Sourcing US,4830203707,97440002,7/13/2021 23:59,7/13/2021 23:59,7/15/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/13/2021 20:35,2226 JERNIGAN RD,JACKSONVILLE,FL,32207-6710,US,7/13/2021 20:36,97440002,22865450,TMS
57-58265224,6/1/2021,6138582,SelfServ82 Interactive Teller,6682MC1973,Rental Sourcing US,4830204327,97440020,7/13/2021 23:59,7/13/2021 23:59,7/15/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/13/2021 20:36,2226 JERNIGAN RD,JACKSONVILLE,FL,32207-6710,US,7/13/2021 20:36,97440020,22865450,TMS
57-58265153,6/2/2021,6138690,SS84 Standardize Walk Up Catalog,6684MC7024,Rental Sourcing US,4802856405,96937603,6/29/2021 23:59,6/29/2021 23:59,7/1/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,6/29/2021 20:30,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,6/29/2021 20:31,96937603,22857246,TMS
57-58265152,6/2/2021,6138645,SS84 Standardize Walk Up Catalog,6684MC7024,Rental Sourcing US,4809251256,97130361,7/2/2021 23:59,7/2/2021 23:59,7/6/2021 23:59,ATMaaS SEACOAST NATIONAL BANK,7/2/2021 15:15,2961 CENTER PORT CIRCLE,POMPANO BEACH,FL,33064,US,7/2/2021 15:16,97130361,22860431,TMS
