SERIAL_NUMBER,OH_INV,ORDER_NUMBER,DESCRIPTION,SEGMENT1,NAME,TRANSACTION_ID,SHIPMENT_NUMBER,SCHEDULE_SHIP_DATE,SCHEDULE_SHIP_DATE,SCHEDULE_ARRIVAL_DATE,ADDRESSEE,CONFIRM_DATE,ADDRESS1,CITY,STATE,POSTAL_CODE,COUNTRY,CREATION_DATE,Delivery ID,PRO#/Tracking#,TMS_REG
57-58261611,4/16/2021,6058262,6684 Digitize WU Dip,6684MC6745,Standard US,4662967582,91983660,4/22/2021 23:59,4/22/2021 23:59,4/26/2021 23:59,"RMC ATM SOLUTIONS, INC",4/22/2021 21:14,1913 ATLANTIC AVE STE R3,MANASQUAN,NJ,08736-1047,US,4/22/2021 21:15,91983660,22828657,TMS
57-58261617,4/16/2021,6126449,6684 Digitize WU Dip,6684MC6745,Standard US,4671813537,92132078,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,ADT Commercial,4/27/2021 23:09,14 JETWAY DR,ALBANY,NY,12211-2806,US,4/27/2021 23:12,92132078,22830527,TMS
57-58261606,4/16/2021,6130065,6684 Digitize WU Dip,6684MC6745,Standard US,4660771202,91948381,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91948381,22828102,TMS
57-58261647,4/16/2021,6111096,SelfServ84,6684MC6943,Standard US,4659909735,91878447,4/21/2021 23:59,4/21/2021 23:59,4/21/2021 23:59,CARDTRONICS C/O CEVA LOGISTICS,4/21/2021 12:34,15370B VICKERY DR,HOUSTON,TX,77032-2530,US,4/21/2021 12:34,91878447,#N/A,EMAIL
57-58261648,4/16/2021,6098964,SelfServ84,6684MC7018,Standard US,4662974496,91983914,4/22/2021 23:59,4/22/2021 23:59,4/26/2021 23:59,NORTHEASTERN SECURITY SYSTEMS,4/22/2021 21:29,897 WYOMING AVE,WYOMING,PA,18644-1327,US,4/22/2021 21:29,91983914,22828828,TMS
57-58261635,4/17/2021,6137798,6684 Standardize WU Dip,6684MC6742,Standard US,4744229691,94263639,6/4/2021 23:59,6/4/2021 23:59,6/8/2021 23:59,ONEAZ CREDIT UNION,6/4/2021 18:53,1812 W MONROE ST,PHOENIX,AZ,85007,US,6/4/2021 18:53,94263639,22846081,TMS
57-58261636,4/17/2021,6137374,6684 Standardize WU Dip,6684MC6742,Standard US,4744229705,94262640,6/4/2021 23:59,6/4/2021 23:59,6/8/2021 23:59,ONEAZ CREDIT UNION,6/4/2021 18:53,1812 W MONROE ST,PHOENIX,AZ,85007,US,6/4/2021 18:53,94262640,22846081,TMS
57-58261627,4/17/2021,6126752,6684 Digitize WU Dip,6684MC6745,Standard US,4660787474,91949617,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,Corporate America Family Credit Union - Financial Building Services,4/21/2021 22:28,2215 LITHONIA INDUSTRIAL BLVD,LITHONIA,GA,30058-4613,US,4/21/2021 22:28,91949617,22828171,TMS
57-58261629,4/17/2021,6143602,6684 Digitize WU Dip,6684MC6745,Standard US,4694347758,92596127,5/10/2021 23:59,5/10/2021 23:59,5/17/2021 23:59,COOK SECURITY GROUP,5/10/2021 19:20,9225 NE CASCADES PARKWAY,PORTLAND,OR,97220,US,5/10/2021 19:20,92596127,22835379,TMS
57-58261621,4/17/2021,6130359,6684 Digitize WU Dip,6684MC6745,Standard US,4660771272,91948400,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91948400,22828102,TMS
57-58261632,4/17/2021,6130356,6684 Digitize WU Dip,6684MC6745,Standard US,4660771168,91948399,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91948399,22828102,TMS
57-58261622,4/17/2021,6130071,6684 Digitize WU Dip,6684MC6745,Standard US,4660771269,91948389,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91948389,22828102,TMS
57-58261631,4/17/2021,6130068,6684 Digitize WU Dip,6684MC6745,Standard US,4660771270,91948387,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91948387,22828102,TMS
57-58261630,4/17/2021,6130066,6684 Digitize WU Dip,6684MC6745,Standard US,4660771215,91948386,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91948386,22828102,TMS
57-58261626,4/17/2021,6130090,6684 Digitize WU Dip,6684MC6745,Standard US,4660771274,91948395,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91948395,22828102,TMS
57-58261619,4/17/2021,6129814,6684 Digitize WU Dip,6684MC6745,Standard US,4660771167,91945487,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91945487,22828102,TMS
57-58261615,4/17/2021,6130086,6684 Digitize WU Dip,6684MC6745,Standard US,4660771292,91948394,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91948394,22828102,TMS
57-58261618,4/17/2021,6130008,6684 Digitize WU Dip,6684MC6745,Standard US,4660771204,91945492,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91945492,22828102,TMS
57-58261624,4/17/2021,6130072,6684 Digitize WU Dip,6684MC6745,Standard US,4660771180,91948392,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,COOK SECURITY GROUP,4/21/2021 21:52,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,4/21/2021 21:52,91948392,22828102,TMS
57-58261650,4/17/2021,6103606,SS84 Standardize Walk Up Catalog,6684MC7024,Standard US,4662975912,91983920,4/22/2021 23:59,4/22/2021 23:59,4/29/2021 23:59,SACCO'S,4/22/2021 21:32,1 BURLINGTON AVENUE,WILMINGTON,MA,1887,US,4/22/2021 21:33,91983920,22828815,TMS
57-58261367,4/18/2021,6095794,SelfServ82,6682MC1907,Standard US,4660737136,91950327,4/21/2021 23:59,4/21/2021 23:59,4/26/2021 23:59,Fiserv # OnPoint CU - Sandy Fred Meyer,4/21/2021 20:40,16625 SE 362ND DR,SANDY,OR,97055,US,4/21/2021 20:41,91950327,1689989,TMS
57-58261657,4/18/2021,6098922,SelfServ82,6682MC1913,Standard US,4662944743,91979589,4/22/2021 23:59,4/22/2021 23:59,4/28/2021 23:59,HUNTINGTON NATIONAL BANK OF COLUMBUS OH,4/22/2021 20:33,7 EASTON OVAL,COLUMBUS,OH,43219-6010,US,4/22/2021 20:33,91979589,22828660,TMS
57-58261637,4/18/2021,6179483,6684 Standardize WU Dip,6684MC6742,Standard US,4788018326,96834614,6/22/2021 23:59,6/22/2021 23:59,6/25/2021 23:59,ACTION RIGGERS NORTHFIELD SAVINGS BANK OF VT,6/23/2021 16:40,359 JASPER MINE RD,COLCHESTER,VT,05446-7978,US,6/23/2021 16:40,96834614,1717982,TMS
57-58261639,4/18/2021,6140224,6684 Standardize WU Dip,6684MC6742,Standard US,4665109745,92018169,4/23/2021 23:59,4/23/2021 23:59,4/28/2021 23:59,SECURITY CORPORATION,4/23/2021 21:54,22791 HESLIP DR,NOVI,MI,48375,US,4/23/2021 21:55,92018169,22829219,TMS
57-58261640,4/18/2021,6156173,6684 Standardize WU Dip,6684MC6742,Standard US,4803153254,97129904,6/29/2021 23:59,6/29/2021 23:59,7/6/2021 23:59,BANK-TEC SOUTH,6/30/2021 2:03,4150 VIKING DRIVE,BOSSIER CITY,LA,71111,US,6/30/2021 2:04,97129904,22857466,TMS
57-58261634,4/18/2021,6139884,6684 Standardize WU Dip,6684MC6742,Standard US,4665109716,92018168,4/23/2021 23:59,4/23/2021 23:59,4/28/2021 23:59,SECURITY CORPORATION,4/23/2021 21:54,22791 HESLIP DR,NOVI,MI,48375,US,4/23/2021 21:55,92018168,22829219,TMS
57-58261642,4/18/2021,6155929,6684 Standardize WU Dip,6684MC6742,Standard US,4803150803,97129903,6/29/2021 23:59,6/29/2021 23:59,7/6/2021 23:59,BANK-TEC SOUTH,6/30/2021 2:02,4150 VIKING DRIVE,BOSSIER CITY,LA,71111,US,6/30/2021 2:03,97129903,22857466,TMS
57-58261625,4/18/2021,6186062,6684 Digitize WU Dip,6684MC6745,Standard US,4800023669,96975830,6/25/2021 23:59,6/25/2021 23:59,7/2/2021 23:59,COOK SECURITY GROUP,6/28/2021 21:07,"6501 E TRENT, SUITE 1",SPOKANE VALLEY,WA,99212,US,6/28/2021 21:07,96975830,22856756,TMS
57-58260664,4/18/2021,6082758,SelfServ 88 Interactive Teller,6688MC1959,Standard US,4662961701,91979577,4/22/2021 23:59,4/22/2021 23:59,4/28/2021 23:59,FNB OF PENNSYLVANIA - OPTIVIA,4/22/2021 21:03,3574 EAST KEMPER RD,CINCINNATI,OH,45241,US,4/22/2021 21:04,91979577,22828641,TMS
57-58261656,4/20/2021,6098907,SelfServ82 Interactive Teller,6682MC1911,Standard US,4669032062,92017918,4/26/2021 23:59,4/26/2021 23:59,4/28/2021 23:59,Fiserv,4/26/2021 16:16,122 LAFAYETTE AVE,LAUREL,MD,20707-4512,US,4/26/2021 16:16,92017918,22829528,TMS
57-58260666,4/20/2021,6161000,SelfServ 88 Interactive Teller,6688MC1959,Standard US,4783061235,96663638,6/21/2021 23:59,6/21/2021 23:59,6/25/2021 23:59,SUMMIT COMM BANK C/O SECURITY VAULT WORKS,6/21/2021 23:10,1215 TRAPPER CIRCLE NORTHWEST,ROANOKE,VA,24012,US,6/21/2021 23:11,96663638,2308844,TMS
57-58260661,4/20/2021,6130741,SelfServ 88 Interactive Teller,6688MC1959,Standard US,4722316854,93348118,5/25/2021 23:59,5/25/2021 23:59,5/28/2021 23:59,CASE FINANCIAL,5/25/2021 22:55,701 WEAVER BLVD,ANOKA,MN,55303,US,5/25/2021 22:56,93348118,#N/A,EMAIL
57-58260667,4/20/2021,6130741,SelfServ 88 Interactive Teller,6688MC1959,Standard US,4722316854,93348118,5/25/2021 23:59,5/25/2021 23:59,5/28/2021 23:59,CASE FINANCIAL,5/25/2021 22:55,701 WEAVER BLVD,ANOKA,MN,55303,US,5/25/2021 22:56,93348118,#N/A,EMAIL
57-58260668,4/20/2021,6160535,SelfServ 88 Interactive Teller,6688MC1959,Standard US,4736852562,93660287,6/1/2021 23:59,6/1/2021 23:59,6/4/2021 23:59,INSTALLATION TECH INC/ LANDMARK NATIONAL BK,6/1/2021 19:00,13908 W 108TH ST,LENEXA,KS,66215-2029,US,6/1/2021 19:01,93660287,1707341,TMS
57-58261407,4/20/2021,6123210,SelfServ 88 Interactive Teller,6688MC1961,Standard US,4673884428,92167486,4/28/2021 23:59,4/28/2021 23:59,5/5/2021 23:59,BODY WORKS,4/28/2021 21:36,4293 HARRISON AVENUE,CINCINNATI,OH,45211,US,4/28/2021 21:37,92167486,22831055,TMS
57-58261412,4/20/2021,6125403,SelfServ 88 Interactive Teller,6688MC1961,Standard US,4673953577,92167504,4/28/2021 23:59,4/28/2021 23:59,5/3/2021 23:59,DBI,4/28/2021 23:54,124 INDUSTRIAL DR,MARSHALL,WI,53559,US,4/28/2021 23:55,92167504,22831077,TMS
57-58261413,4/20/2021,6124443,SelfServ 88 Interactive Teller,6688MC1961,Standard US,4673885100,92167487,4/28/2021 23:59,4/28/2021 23:59,5/5/2021 23:59,BODY WORKS,4/28/2021 21:37,4293 HARRISON AVENUE,CINCINNATI,OH,45211,US,4/28/2021 21:38,92167487,22831055,TMS
57-58262181,4/20/2021,6091851,SelfServ 88 Drive Up,6688MC2193,Standard US,4656344264,91887223,4/19/2021 23:59,4/19/2021 23:59,4/20/2021 23:59,CITY NATIONAL BANK & TRUST OF LAWTON OK,4/19/2021 21:03,820 E ZIMMERLY ST,WICHITA,KS,67211-3341,US,4/19/2021 21:03,91887223,#N/A,EMAIL
57-58261408,4/21/2021,6118682,SelfServ 88 Interactive Teller,6688MC1961,Standard US,4673876912,92134151,4/28/2021 23:59,4/28/2021 23:59,4/30/2021 23:59,FISERV #OPTIVIA-NICHOLSO,4/28/2021 21:20,1104 EVEREE INN ROAD,GRIFFIN,GA,30224,US,4/28/2021 21:20,92134151,22830961,TMS
57-58261372,4/21/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261370,4/21/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261373,4/21/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261368,4/21/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261414,4/22/2021,6146303,SelfServ 88 Interactive Teller,6688MC1961,Standard US,4689986413,92507106,5/7/2021 23:59,5/7/2021 23:59,5/10/2021 23:59,INSTALLATION TECHNOLOGIES INC/ MAINSTREET CREDIT UNION,5/7/2021 22:53,13908 W 108TH ST,LENEXA,KS,66215-2029,US,5/7/2021 22:53,92507106,1697345,TMS
57-58261411,4/22/2021,6117878,SelfServ 88 Interactive Teller,6688MC1961,Standard US,4690004421,92505716,5/7/2021 23:59,5/7/2021 23:59,5/10/2021 23:59,FEDERAL PROTECTION/ CENTRAL BANCOMPANY INC,5/7/2021 23:32,2500 N AIRPORT COMMERCE DR,SPRINGFIELD,MO,65803,US,5/7/2021 23:32,92505716,22834748,TMS
57-58261384,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671830059,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261401,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671830059,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261381,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671827705,92130699,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:41,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:41,92130699,22830484,TMS
57-58261390,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671827705,92130699,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:41,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:41,92130699,22830484,TMS
57-58261385,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671830059,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261389,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671827705,92130699,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:41,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:41,92130699,22830484,TMS
57-58261395,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671827705,92130699,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:41,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:41,92130699,22830484,TMS
57-58261400,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261392,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261388,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261379,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261394,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261380,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261378,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261383,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261391,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261398,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261386,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261402,4/22/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261369,4/22/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261375,4/22/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261377,4/22/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261376,4/22/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261371,4/22/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261374,4/22/2021,6063035,SelfServ 88 Drive Up,6688MC2127,Standard US,4671480853,92096068,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096068,#N/A,EMAIL
57-58261425,4/23/2021,6130814,SelfServ 88 Drive Up,6688MC1963,Standard US,4669504455,92094995,4/26/2021 23:59,4/26/2021 23:59,4/30/2021 23:59,5/3 BANK/BODYWORKS,4/27/2021 0:21,4293 HARRISON AVE,CINCINNATI,OH,45211,US,4/27/2021 0:22,92094995,#N/A,EMAIL
57-58261430,4/23/2021,6130814,SelfServ 88 Drive Up,6688MC1963,Standard US,4669504455,92094995,4/26/2021 23:59,4/26/2021 23:59,4/30/2021 23:59,5/3 BANK/BODYWORKS,4/27/2021 0:21,4293 HARRISON AVE,CINCINNATI,OH,45211,US,4/27/2021 0:22,92094995,#N/A,EMAIL
57-58261426,4/23/2021,6148628,SelfServ 88 Drive Up,6688MC1963,Standard US,4681167272,92344440,5/3/2021 23:59,5/3/2021 23:59,5/6/2021 23:59,CARDTRONICS,5/3/2021 18:54,15350 VICKERY DR,HOUSTON,TX,77032,US,5/3/2021 18:55,92344440,1694798,TMS
57-58261427,4/23/2021,6130814,SelfServ 88 Drive Up,6688MC1963,Standard US,4669504455,92094995,4/26/2021 23:59,4/26/2021 23:59,4/30/2021 23:59,5/3 BANK/BODYWORKS,4/27/2021 0:21,4293 HARRISON AVE,CINCINNATI,OH,45211,US,4/27/2021 0:22,92094995,#N/A,EMAIL
57-58261419,4/23/2021,6130814,SelfServ 88 Drive Up,6688MC1963,Standard US,4669504455,92094995,4/26/2021 23:59,4/26/2021 23:59,4/30/2021 23:59,5/3 BANK/BODYWORKS,4/27/2021 0:21,4293 HARRISON AVE,CINCINNATI,OH,45211,US,4/27/2021 0:22,92094995,#N/A,EMAIL
57-58261423,4/23/2021,6130814,SelfServ 88 Drive Up,6688MC1963,Standard US,4669504455,92094995,4/26/2021 23:59,4/26/2021 23:59,4/30/2021 23:59,5/3 BANK/BODYWORKS,4/27/2021 0:21,4293 HARRISON AVE,CINCINNATI,OH,45211,US,4/27/2021 0:22,92094995,#N/A,EMAIL
57-58261421,4/23/2021,6130814,SelfServ 88 Drive Up,6688MC1963,Standard US,4669504455,92094995,4/26/2021 23:59,4/26/2021 23:59,4/30/2021 23:59,5/3 BANK/BODYWORKS,4/27/2021 0:21,4293 HARRISON AVE,CINCINNATI,OH,45211,US,4/27/2021 0:22,92094995,#N/A,EMAIL
57-58261422,4/23/2021,6130814,SelfServ 88 Drive Up,6688MC1963,Standard US,4669504455,92094995,4/26/2021 23:59,4/26/2021 23:59,4/30/2021 23:59,5/3 BANK/BODYWORKS,4/27/2021 0:21,4293 HARRISON AVE,CINCINNATI,OH,45211,US,4/27/2021 0:22,92094995,#N/A,EMAIL
57-58261420,4/23/2021,6130814,SelfServ 88 Drive Up,6688MC1963,Standard US,4669504455,92094995,4/26/2021 23:59,4/26/2021 23:59,4/30/2021 23:59,5/3 BANK/BODYWORKS,4/27/2021 0:21,4293 HARRISON AVE,CINCINNATI,OH,45211,US,4/27/2021 0:22,92094995,#N/A,EMAIL
57-58261382,4/23/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671830059,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58261387,4/23/2021,6107319,6688 Optimize Dip,6688MC2117,Standard US,4671829910,92130634,4/27/2021 23:59,4/27/2021 23:59,4/30/2021 23:59,TRUIST ACG,4/27/2021 23:47,6025 PARKWAY NORTH,CUMMING,GA,30040,US,4/27/2021 23:47,92130634,2295976,TMS
57-58262236,4/24/2021,6063036,SelfServ84,6684MC6823,Standard US,4671481886,92096070,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096070,#N/A,EMAIL
57-58262237,4/24/2021,6063036,SelfServ84,6684MC6823,Standard US,4671481886,92096070,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096070,#N/A,EMAIL
57-58262233,4/24/2021,6063036,SelfServ84,6684MC6823,Standard US,4671481886,92096070,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096070,#N/A,EMAIL
57-58262240,4/24/2021,6063036,SelfServ84,6684MC6823,Standard US,4671481886,92096070,4/27/2021 23:59,4/27/2021 23:59,4/27/2021 23:59,QSI INC,4/27/2021 16:42,1510 FILIATREAU LANE,BARDSTOWN,KY,40004,US,4/27/2021 16:43,92096070,#N/A,EMAIL
