carrier,Year,contract_effective_date,contract_expire_date,cost,cost_type,currency,destination_countries,destination_states,min_cost,mode,origin_countries,origin_states
BRONCO,2020,1/1/2020,3/31/2022,1.79,PerDistance,USD,US,TN,400,truckload,US,TX
BRONCO,2020,1/1/2020,3/31/2022,1.86,PerDistance,USD,US,NE,400,truckload,US,TX
BRONCO,2020,1/1/2020,3/31/2022,1.62,PerDistance,USD,US,MN,400,truckload,US,TX
BRONCO,2020,1/1/2020,3/31/2022,1.41,PerDistance,USD,US,NC,400,truckload,US,TX
BRONCO,2020,1/1/2020,3/31/2022,1.9,PerDistance,USD,US,WY,400,truckload,US,TX
BRONCO,2020,1/1/2020,3/31/2022,2.01,PerDistance,USD,US,IN,400,truckload,US,TX
BRONCO,2020,1/1/2020,3/31/2022,2.03,PerDistance,USD,US,NH,400,truckload,US,TX
BRONCO,2020,1/1/2020,3/31/2022,1.72,PerDistance,USD,US,OR,400,truckload,US,TX
BRONCO,2020,1/1/2020,3/31/2022,1.22,PerDistance,USD,US,SC,400,truckload,US,TX
SATELITE,2020,1/1/2020,3/31/2022,2.44,PerDistance,USD,US,ALL,400,truckload,US,TX
BRONCO,2020,1/1/2020,3/31/2022,3.11,PerDistance,USD,US,NO Included,400,truckload,US,TX
